"Twn Num","Twn Dir","Rng Num","Rng Dir","Sec","Quarter","Lib Num","API Num","Operator","Well Name","Field","Type","State","County","Photos","Thin Sec","Analysis","Latitude","Longitude","Source","Security Flag","Formation","Age","Min Depth","Max Depth"
"7","N","92","W","29","SENW","R168","0508106701","HELMERICH & PAYNE","1-29 FLB","WILDCAT","SLABBED","CO","MOFFAT","T","F","T","40.523737","-107.746065","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","WILLIAMS FORK","CRET","1749","1773"
"7","N","92","W","29","SENW","R168","0508106701","HELMERICH & PAYNE","1-29 FLB","WILDCAT","SLABBED","CO","MOFFAT","T","F","T","40.523737","-107.746065","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","WILLIAMS FORK","CRET","2072","2100"
"47","N","90","W","9","NWSW","E619","4904320786","BASS ENTERPRISES","261 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.05971","-107.66445","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","4825","4864"
"47","N","90","W","20","SENW","E620","4904320782","BASS ENTERPRISES","257 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.03394","-107.68013","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","7314","7362"
"47","N","90","W","8","SWSW","E622","4904320777","BASS ENTERPRISES","252 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.05344","-107.68499","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","5513","5552"
"47","N","90","W","7","SWSE","E623","4904320771","BASS ENTERPRISES","240 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.05353","-107.69417","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","5749","5889"
"47","N","91","W","13","SENE","E624","4904320766","BASS ENTERPRISES","230 COTTONWOOD CREEK","COTTONWOOD CREEK","SLABBED","WY","WASHAKIE","T","F","F","44.04646","-107.7064","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","PHOSPHORIA","PERM","6616","6671"
"2","N","51","W","14","C NENE","R145","0512107006","PLAINS EXPLORATION","1 MARSHAL","WILDCAT","FULL","CO","WASHINGTON","F","F","T","40.146535","-103.042355","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","DAKOTA J","CRET","4292","4328"
"4","S","49","W","17","SESE","R064","0512105114","PLAINS EXPLORATION","1 WALTER E RUDNICK","WILDCAT","FULL","CO","WASHINGTON","F","F","T","39.700682","-102.880247","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","DAKOTA J","CRET","3590","3640"
"51","N","70","W","1","SESE","R343","4900530724","PRESIDIO EXPL INC","44-1-I WHITE","S. WALLACE","FULL","WY","CAMPBELL","F","F","T","44.42524","-105.20951","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","MINNELUSA","PENN","7860","7922"
"22","N","95","W","16","CSW","R775","4903723295","PRESIDIO EXPL INC","30-16 STRIKE UNIT","STRIKE","SLABBED","WY","SWEETWATER","F","F","F","41.87555","-108.15721","FROM STATE RECORDS","NO SPECIAL RESTRICTIONS","LEWIS","CRET","10037","10070"
